,,LsvmCg2Mce,LsvmCg3Mce,LsvmCpostMce,LsvmFwisMce,LsvmLfreqMce,LsvmMwfwMce,LsvmNrtMce,LsvmPosMce,LsvmPosg2Mce,LsvmPosg3Mce,LsvmPrepMce,LsvmScg2Mce,LsvmScg3Mce,LsvmSufMce,LsvmViwMce,LsvmWg2Mce,LsvmWsMce,MpCg2Mce,MpCg3Mce,MpCpostMce,MpFwisMce,MpLfreqMce,MpMwfwMce,MpNrtMce,MpPosMce,MpPosg2Mce,MpPosg3Mce,MpPrepMce,MpScg2Mce,MpScg3Mce,MpSufMce,MpViwMce,MpWg2Mce,MpWsMce,NndcosdCg2Mce,NndcosdCg3Mce,NndcosdCpostMce,NndcosdFwisMce,NndcosdLfreqMce,NndcosdMwfwMce,NndcosdNrtMce,NndcosdPosMce,NndcosdPosg2Mce,NndcosdPosg3Mce,NndcosdPrepMce,NndcosdScg2Mce,NndcosdScg3Mce,NndcosdSufMce,NndcosdViwMce,NndcosdWg2Mce,NndcosdWsMce,SmoCg2Mce,SmoCg3Mce,SmoCpostMce,SmoFwisMce,SmoLfreqMce,SmoMwfwMce,SmoNrtMce,SmoPosMce,SmoPosg2Mce,SmoPosg3Mce,SmoPrepMce,SmoScg2Mce,SmoScg3Mce,SmoSufMce,SmoViwMce,SmoWg2Mce,SmoWsMce,,Result,Max Support,Entropy,,Adams,Benezet,Burgh,Burke,Cartwright,Cassandra,Dickinson,Francis,Franklin,Hopkins,Hopkinson,Jefferson,Lafayette,Macauley,Mackintosh,Moore,Ogilvie,Paine,Price,Priestley,Rush,Spence,Wesley,Wilkes,Witherspoon,Wollstonecraft,Woolman,
Defense 1,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Spence,Adams,Adams,Adams,Rush,Adams,Mackintosh,Adams,Adams,Adams,Burgh,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Spence,Adams,Adams,,Adams,0.914498,0.498332,,0.914498,0,0.0271157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0583862,0,0,0,0,0,
Defense 2,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Mackintosh,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,,Adams,1,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Defense 3,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Jefferson,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,,Adams,1,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Defense 4,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Rush,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Rush,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,,Adams,0.971791,0.185329,,0.971791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0282091,0,0,0,0,0,0,
Defense 5,Adams,Adams,Adams,Burgh,Adams,Burgh,Burgh,Burgh,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Burgh,Adams,Burgh,Adams,Adams,Adams,Adams,Burgh,Burgh,Burgh,Adams,Adams,Adams,Adams,Paine,Paine,Benezet,Adams,Adams,Burgh,Jefferson,Burgh,Burgh,Adams,Burgh,Burgh,Burgh,Burgh,Adams,Adams,Burgh,Adams,Burgh,Adams,Burgh,Adams,Burgh,Adams,Adams,Adams,Adams,Burgh,Burgh,Burgh,Adams,Adams,Adams,Adams,Adams,Adams,Moore,Adams,Adams,Burgh,,Adams,0.571835,1.23685,,0.571835,0,0.367592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0605729,0,0,0,0,0,0,0,0,0,
Defense 6,Adams,Adams,Adams,Priestley,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Price,Adams,Adams,Adams,Adams,Adams,Adams,Priestley,Adams,Adams,Adams,Priestley,Burgh,Adams,Priestley,Benezet,Adams,Ogilvie,Adams,Adams,Adams,Adams,Adams,Price,Priestley,Priestley,Paine,Adams,Adams,Paine,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,,Adams,0.942051,0.319248,,0.942051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0579488,0,0,0,0,0,0,0,
Defense 7,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Priestley,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Priestley,Adams,Adams,Adams,Adams,Adams,,Adams,1,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Defense 8,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Priestley,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Priestley,Adams,Adams,Adams,Adams,Adams,,Adams,1,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
John Adams Thoughts,Adams,Adams,Cartwright,Adams,Dickinson,Hopkinson,Hopkinson,Hopkinson,Adams,Adams,Priestley,Burgh,Rush,Ogilvie,Cassandra,Burgh,Priestley,Hopkinson,Adams,Cartwright,Priestley,Burgh,Hopkinson,Priestley,Hopkinson,Adams,Adams,Benezet,Rush,Priestley,Cartwright,Moore,Adams,Hopkinson,Adams,Adams,Adams,Adams,Burgh,Rush,Hopkinson,Hopkinson,Priestley,Adams,Priestley,Burgh,Adams,Ogilvie,Cassandra,Adams,Burgh,Hopkinson,Priestley,Cartwright,Adams,Burgh,Hopkinson,Hopkinson,Hopkinson,Adams,Adams,Priestley,Adams,Priestley,Ogilvie,Adams,Adams,Hopkinson,Hopkinson,,Adams,0.398863,2.24598,,0.398863,0.026897,0,0,0.0903127,0,0,0,0,0,0.281435,0,0,0,0,0,0.0575115,0,0,0.114367,0.0306145,0,0,0,0,0,0,
Novanglus less quotes,Adams,Price,Burgh,Adams,Burgh,Price,Price,Price,Paine,Paine,Burgh,Hopkins,Price,Price,Cassandra,Price,Wesley,Price,Price,Burgh,Adams,Franklin,Price,Price,Price,Paine,Paine,Burgh,Burke,Cartwright,Cartwright,Burke,Price,Burke,Price,Price,Burke,Adams,Burgh,Price,Price,Price,Paine,Priestley,Price,Hopkins,Price,Price,Cartwright,Price,Spence,Price,Price,Price,Adams,Wollstonecraft,Price,Price,Price,Paine,Cartwright,Hopkins,Burke,Price,Cartwright,Burke,Price,Paine,Price,,Price,0.573365,1.73944,,0,0,0.0859392,0,0.121583,0,0,0,0,0,0,0,0,0,0,0,0,0.189372,0.573365,0.0297398,0,0,0,0,0,0,0,
